"","age","college","male_num","AI_trust_num","Task_diff_num","Dmn_know_a_num","Dmn_know_p_num","atn_ch1_num","atn_ch2_num","atn_ch3_num","atn_ch_sum","atn_ch","Participant","Image","accuracy","confidence","time_taken","AI_use","AI","Bar","Group","animal"
"1",22,0,1,3,2,0.4,0.2,1,1,1,3,1,"R_22mqvTFwijCFDOC","Barc",0,0.6,5.227,NA,0,0,"No_AI",1
"2",58,1,0,2,4,0.2,0,0,1,1,2,0,"R_vr9oYzUEhrjrmAF","Barc",0,0.2,11.387,NA,0,0,"No_AI",1
"3",18,0,0,3,3,0.6,0.4,1,0,1,2,0,"R_1eVGQkDn4wmTveD","Barc",0,0.2,17.355,NA,0,0,"No_AI",1
"4",59,0,0,3,2,0.4,0,1,1,1,3,1,"R_9SmL2ZpD54Eow3T","Barc",0,0,10.744,NA,0,0,"No_AI",1
"5",30,0,0,3,3,0.6,0.4,1,1,1,3,1,"R_2yegKpfProRdTHs","Barc",0,0,9.298,NA,0,0,"No_AI",1
"6",30,1,0,5,4,0,0,1,1,1,3,1,"R_3rSwlBik2Gfkh5B","Barc",0,0.4,7.483,NA,0,0,"No_AI",1
"7",24,1,1,5,5,0.4,0.2,1,1,1,3,1,"R_1EiEj4FyRqbuA40","Barc",0,0.2,9.5,NA,0,0,"No_AI",1
"8",18,0,1,3,3,0.6,0.2,1,1,0,2,0,"R_3iyQxtIShxHleOm","Barc",0,0.2,7.559,NA,0,0,"No_AI",1
"9",23,0,1,4,3,0.6,0,1,1,1,3,1,"R_3gTWxd8okkHqgWE","Barc",0,0.4,27.475,NA,0,0,"No_AI",1
"10",21,0,1,4,1,0.4,0.2,1,1,1,3,1,"R_0P91reh8CsGYQIV","Barc",0,0.4,5.67,NA,0,0,"No_AI",1
"11",20,0,0,4,2,0.8,0.6,1,0,0,1,0,"R_2WGM38KGUDeGLkc","Barc",0,0.4,10.779,NA,0,0,"No_AI",1
"12",31,1,1,4,4,0.8,0,1,1,1,3,1,"R_1K3CAo2kTuUk5pJ","Barc",0,0.6,4.471,NA,0,0,"No_AI",1
"13",21,0,0,2,2,0.4,0.4,1,1,1,3,1,"R_2aY973l52plt7Bv","Barc",0,0.8,5.61,NA,0,0,"No_AI",1
"14",23,0,1,2,3,0.4,0.2,1,1,1,3,1,"R_1N2EC9A3NcCumLn","Barc",0,0.4,10.686,NA,0,0,"No_AI",1
"15",26,1,1,2,5,0,0,1,1,1,3,1,"R_UxNdIEuBcSD4Jnr","Barc",0,0.4,6.395,NA,0,0,"No_AI",1
"16",22,1,1,2,4,0.4,0,1,1,1,3,1,"R_9XEw40pHMWQvsel","Barc",0,0.6,4.893,NA,0,0,"No_AI",1
"17",46,1,0,5,2,0.4,0.2,1,1,1,3,1,"R_2ClcZpBJkRng4bF","Barc",0,0.2,13.989,NA,0,0,"No_AI",1
"18",26,1,0,2,3,0.4,0.2,1,0,1,2,0,"R_w7z6QyyjQbmgn4t","Barc",0,0,6.668,NA,0,0,"No_AI",1
"19",25,1,0,4,4,0.4,0,1,1,1,3,1,"R_0CEZexeez6PmpY5","Barc",0,0.6,7.661,NA,0,0,"No_AI",1
"20",33,1,1,2,2,0.4,0.2,1,1,1,3,1,"R_wZSfcAGv5NaiceJ","Barc",0,0,20.141,NA,0,0,"No_AI",1
