"","ResponseId","age","college","male_num","AI_trust_num","Task_diff_num","Dmn_know_a_num","Dmn_know_p_num","atn_ch","accuracy","confidence","time_taken","AI_use","AI","bar"
"1","R_22mqvTFwijCFDOC",22,0,1,3,2,0.4,0.2,1,0.384615384615385,0.6,6.44376923076923,NA,0,0
"2","R_vr9oYzUEhrjrmAF",58,1,0,2,4,0.2,0,0,0.461538461538462,0.492307692307692,15.2563076923077,NA,0,0
"3","R_1eVGQkDn4wmTveD",18,0,0,3,3,0.6,0.4,0,0.538461538461538,0.415384615384615,14.7900769230769,NA,0,0
"4","R_9SmL2ZpD54Eow3T",59,0,0,3,2,0.4,0,1,0.538461538461538,0.461538461538462,11.6194615384615,NA,0,0
"5","R_2yegKpfProRdTHs",30,0,0,3,3,0.6,0.4,1,0.538461538461538,0.584615384615385,9.40515384615385,NA,0,0
"6","R_3rSwlBik2Gfkh5B",30,1,0,5,4,0,0,1,0.230769230769231,0.230769230769231,10.4130769230769,NA,0,0
"7","R_1EiEj4FyRqbuA40",24,1,1,5,5,0.4,0.2,1,0.307692307692308,0.461538461538462,8.45853846153846,NA,0,0
"8","R_3iyQxtIShxHleOm",18,0,1,3,3,0.6,0.2,0,0.307692307692308,0.4,7.88515384615385,NA,0,0
"9","R_3gTWxd8okkHqgWE",23,0,1,4,3,0.6,0,1,0.538461538461538,0.676923076923077,13.9606923076923,NA,0,0
"10","R_0P91reh8CsGYQIV",21,0,1,4,1,0.4,0.2,1,0.307692307692308,0.646153846153846,12.8383846153846,NA,0,0
"11","R_2WGM38KGUDeGLkc",20,0,0,4,2,0.8,0.6,0,0.615384615384615,0.723076923076923,8.33153846153846,NA,0,0
"12","R_1K3CAo2kTuUk5pJ",31,1,1,4,4,0.8,0,1,0.384615384615385,0.676923076923077,9.43,NA,0,0
"13","R_2aY973l52plt7Bv",21,0,0,2,2,0.4,0.4,1,0.538461538461538,0.523076923076923,6.83023076923077,NA,0,0
"14","R_1N2EC9A3NcCumLn",23,0,1,2,3,0.4,0.2,1,0.538461538461538,0.384615384615385,10.3443076923077,NA,0,0
"15","R_UxNdIEuBcSD4Jnr",26,1,1,2,5,0,0,1,0.384615384615385,0.230769230769231,7.81146153846154,NA,0,0
"16","R_9XEw40pHMWQvsel",22,1,1,2,4,0.4,0,1,0.384615384615385,0.584615384615385,6.86284615384615,NA,0,0
"17","R_2ClcZpBJkRng4bF",46,1,0,5,2,0.4,0.2,1,0.692307692307692,0.507692307692308,10.9690769230769,NA,0,0
"18","R_w7z6QyyjQbmgn4t",26,1,0,2,3,0.4,0.2,0,0.461538461538462,0.338461538461538,6.26123076923077,NA,0,0
"19","R_0CEZexeez6PmpY5",25,1,0,4,4,0.4,0,1,0.384615384615385,0.661538461538462,8.836,NA,0,0
"20","R_wZSfcAGv5NaiceJ",33,1,1,2,2,0.4,0.2,1,0.461538461538462,0.523076923076923,9.66684615384615,NA,0,0
"21","R_uknfXYnH7IEu6xb",41,0,1,4,4,0.2,0,1,0.461538461538462,0.384615384615385,13.0263846153846,NA,0,0
"22","R_3KwJ0CY6mYNnCWX",30,0,1,3,2,0.4,0.4,0,0.538461538461538,0.584615384615385,11.5523846153846,NA,0,0
"23","R_2VCRRO3FlQGg4yf",23,0,1,3,2,0.2,0,1,0.461538461538462,0.292307692307692,11.8246153846154,NA,0,0
"24","R_3GllcSVAbWgPJc6",35,1,0,4,4,0.4,0,1,0.538461538461538,0.184615384615385,10.7528461538462,NA,0,0
"25","R_PTHzERZQpfZFYLT",27,0,1,4,3,0.6,0,0,0.538461538461538,0.569230769230769,11.4303076923077,NA,0,0
