"","age","college","male_num","AI_trust_num","Task_diff_num","Dmn_know_a_num","Dmn_know_p_num","atn_ch1_num","atn_ch2_num","atn_ch3_num","atn_ch_sum","atn_ch","Participant","Image","accuracy","confidence","time_taken","AI_use","AI","Bar","Group","animal"
"1",22,0,1,3,2,0.4,0.2,1,1,1,3,1,"R_22mqvTFwijCFDOC","Cherry",0,1,6.523,NA,0,0,"No_AI",0
"2",58,1,0,2,4,0.2,0,0,1,1,2,0,"R_vr9oYzUEhrjrmAF","Cherry",0,1,5.678,NA,0,0,"No_AI",0
"3",18,0,0,3,3,0.6,0.4,1,0,1,2,0,"R_1eVGQkDn4wmTveD","Cherry",0,0.6,18.212,NA,0,0,"No_AI",0
"4",59,0,0,3,2,0.4,0,1,1,1,3,1,"R_9SmL2ZpD54Eow3T","Cherry",0,0.8,7.823,NA,0,0,"No_AI",0
"5",30,0,0,3,3,0.6,0.4,1,1,1,3,1,"R_2yegKpfProRdTHs","Cherry",0,0.4,9.509,NA,0,0,"No_AI",0
"6",30,1,0,5,4,0,0,1,1,1,3,1,"R_3rSwlBik2Gfkh5B","Cherry",0,1,3.372,NA,0,0,"No_AI",0
"7",24,1,1,5,5,0.4,0.2,1,1,1,3,1,"R_1EiEj4FyRqbuA40","Cherry",0,1,4.309,NA,0,0,"No_AI",0
"8",18,0,1,3,3,0.6,0.2,1,1,0,2,0,"R_3iyQxtIShxHleOm","Cherry",1,0.4,11.136,NA,0,0,"No_AI",0
"9",23,0,1,4,3,0.6,0,1,1,1,3,1,"R_3gTWxd8okkHqgWE","Cherry",0,1,4.825,NA,0,0,"No_AI",0
"10",21,0,1,4,1,0.4,0.2,1,1,1,3,1,"R_0P91reh8CsGYQIV","Cherry",1,1,6.313,NA,0,0,"No_AI",0
"11",20,0,0,4,2,0.8,0.6,1,0,0,1,0,"R_2WGM38KGUDeGLkc","Cherry",0,0.8,6.389,NA,0,0,"No_AI",0
"12",31,1,1,4,4,0.8,0,1,1,1,3,1,"R_1K3CAo2kTuUk5pJ","Cherry",0,1,6.517,NA,0,0,"No_AI",0
"13",21,0,0,2,2,0.4,0.4,1,1,1,3,1,"R_2aY973l52plt7Bv","Cherry",1,0.8,7.872,NA,0,0,"No_AI",0
"14",23,0,1,2,3,0.4,0.2,1,1,1,3,1,"R_1N2EC9A3NcCumLn","Cherry",0,1,3.563,NA,0,0,"No_AI",0
"15",26,1,1,2,5,0,0,1,1,1,3,1,"R_UxNdIEuBcSD4Jnr","Cherry",0,1,9.876,NA,0,0,"No_AI",0
"16",22,1,1,2,4,0.4,0,1,1,1,3,1,"R_9XEw40pHMWQvsel","Cherry",0,0.8,3.673,NA,0,0,"No_AI",0
"17",46,1,0,5,2,0.4,0.2,1,1,1,3,1,"R_2ClcZpBJkRng4bF","Cherry",1,0,24.507,NA,0,0,"No_AI",0
"18",26,1,0,2,3,0.4,0.2,1,0,1,2,0,"R_w7z6QyyjQbmgn4t","Cherry",0,0.8,3.175,NA,0,0,"No_AI",0
"19",25,1,0,4,4,0.4,0,1,1,1,3,1,"R_0CEZexeez6PmpY5","Cherry",0,1,8.502,NA,0,0,"No_AI",0
"20",33,1,1,2,2,0.4,0.2,1,1,1,3,1,"R_wZSfcAGv5NaiceJ","Cherry",1,0.6,12.381,NA,0,0,"No_AI",0
"21",41,0,1,4,4,0.2,0,1,1,1,3,1,"R_uknfXYnH7IEu6xb","Cherry",0,1,5.387,NA,0,0,"No_AI",0
"22",30,0,1,3,2,0.4,0.4,1,0,1,2,0,"R_3KwJ0CY6mYNnCWX","Cherry",0,1,4.843,NA,0,0,"No_AI",0
"23",23,0,1,3,2,0.2,0,1,1,1,3,1,"R_2VCRRO3FlQGg4yf","Cherry",0,1,22.815,NA,0,0,"No_AI",0
"24",35,1,0,4,4,0.4,0,1,1,1,3,1,"R_3GllcSVAbWgPJc6","Cherry",0,0.8,7.299,NA,0,0,"No_AI",0
"25",27,0,1,4,3,0.6,0,1,0,1,2,0,"R_PTHzERZQpfZFYLT","Cherry",0,0.8,9.534,NA,0,0,"No_AI",0
"26",20,0,0,3,4,0.6,0,1,1,1,3,1,"R_XRkHP28XftIToGZ","Cherry",0,1,5.037,NA,0,0,"No_AI",0
"27",59,0,0,1,2,1,0.4,1,1,1,3,1,"R_2Xii2SX9yhNcbdr","Cherry",0,1,25.378,NA,0,0,"No_AI",0
"28",23,0,1,4,2,0.4,0.2,1,1,1,3,1,"R_2OOWqGVsHSMpKYP","Cherry",0,0.4,14.346,NA,0,0,"No_AI",0
"29",21,0,1,4,4,0.4,0,1,1,1,3,1,"R_r9FFDydNduScHYZ","Cherry",0,1,12.52,NA,0,0,"No_AI",0
"30",22,1,1,3,2,0.4,0.2,1,1,1,3,1,"R_21zzGKM7iwBK4ro","Cherry",0,1,4.176,NA,0,0,"No_AI",0
"31",28,0,0,5,4,0.6,0.2,1,1,1,3,1,"R_27xRjOXD126VLMu","Cherry",0,1,6.05,NA,0,0,"No_AI",0
"32",36,1,1,4,4,0.6,0,0,1,1,2,0,"R_1rluEh5Zo5QIoAJ","Cherry",1,0.6,7.443,NA,0,0,"No_AI",0
"33",25,0,0,2,4,0.8,0.2,1,0,1,2,0,"R_3MDznKTUj3fvOxW","Cherry",0,0.6,7.907,NA,0,0,"No_AI",0
"34",38,0,1,2,3,0.4,0,1,0,1,2,0,"R_1I4rKEIgLpt3GuB","Cherry",0,1,8.125,NA,0,0,"No_AI",0
"35",20,0,1,3,2,0.4,0.2,1,1,1,3,1,"R_DpkR6vZ2iL5rMn7","Cherry",0,0.4,8.122,NA,0,0,"No_AI",0
"36",19,0,1,1,4,0.6,0,1,1,1,3,1,"R_1QtlhAsDepwI9RN","Cherry",0,1,2.437,NA,0,0,"No_AI",0
"37",28,1,0,1,4,0.2,0,1,1,1,3,1,"R_1F9rPW57TS2Nz7j","Cherry",0,1,9.154,NA,0,0,"No_AI",0
"38",25,1,1,3,NA,0.6,0.2,1,1,1,3,1,"R_3RkCeoxW3QHvbUE","Cherry",0,1,4.049,NA,0,0,"No_AI",0
"39",18,0,0,4,2,0.4,0,1,1,1,3,1,"R_2TEFTZFF7BLVxFe","Cherry",0,1,5.035,NA,0,0,"No_AI",0
"40",29,1,1,4,2,0.4,0.4,1,1,1,3,1,"R_27JC9L7yPkmOEt5","Cherry",0,1,3.513,NA,0,0,"No_AI",0
"41",30,1,0,4,4,0.6,0,1,1,1,3,1,"R_110gucIytMMzhRT","Cherry",0,0.8,12.769,NA,0,0,"No_AI",0
"42",25,0,0,3,4,0.6,0,1,1,1,3,1,"R_6yDv4POVNnikrzH","Cherry",0,1,11.359,NA,0,0,"No_AI",0
"43",20,0,1,2,4,1,0,1,1,1,3,1,"R_3Eh61fVL4wYbZBY","Cherry",1,1,34.869,NA,0,0,"No_AI",0
"44",27,1,1,3,2,0.6,0.2,1,1,1,3,1,"R_1Kfj7417wIlqllb","Cherry",1,0.2,8.959,NA,0,0,"No_AI",0
"45",37,1,0,4,2,0.6,0.6,1,1,1,3,1,"R_sHJu8Tm2ys4fFsZ","Cherry",0,1,8.652,NA,0,0,"No_AI",0
"46",24,1,1,4,4,0.6,0,1,1,1,3,1,"R_31HNMw1wqj2Q5lP","Cherry",0,0.4,18.517,NA,0,0,"No_AI",0
"47",27,1,0,2,4,0.4,0.2,1,1,1,3,1,"R_zVwVCcoJbKqVHyN","Cherry",0,0.4,9.576,NA,0,0,"No_AI",0
"48",39,1,1,5,2,0.8,0.6,1,1,1,3,1,"R_PGVws6TJenVHYpr","Cherry",0,0.8,7.55,NA,0,0,"No_AI",0
"49",20,0,1,3,4,0,0,1,1,1,3,1,"R_1FG34AxEY8JntO3","Cherry",0,0.8,4.922,NA,0,0,"No_AI",0
"50",32,1,1,4,2,0.2,0,1,1,1,3,1,"R_3dTedqThDLeKo53","Cherry",0,1,3.054,NA,0,0,"No_AI",0
"51",28,1,1,4,2,0.8,0.4,1,1,1,3,1,"R_1PS13gNhqWQkAzM","Cherry",0,1,3.487,NA,0,0,"No_AI",0
"52",41,1,0,3,5,0.2,0,1,1,1,3,1,"R_XRFV1wd3KSh8w7L","Cherry",0,0.2,11.5,NA,0,0,"No_AI",0
"53",57,0,0,2,4,0.2,0.4,1,0,1,2,0,"R_3D8ybG7SsU7w4jB","Cherry",0,1,15.28,NA,0,0,"No_AI",0
"54",40,0,0,4,2,0.4,0.4,1,1,1,3,1,"R_tYXg6mdF9O0QPrX","Cherry",0,0.6,12.469,NA,0,0,"No_AI",0
"55",28,1,1,2,4,0.6,0,1,1,1,3,1,"R_2dmOmqHlo0Qznkx","Cherry",0,1,2.526,NA,0,0,"No_AI",0
"56",25,0,0,3,1,0.4,0,1,1,1,3,1,"R_31hMAot4jDSGS6Z","Cherry",0,0.8,18.528,NA,0,0,"No_AI",0
"57",28,1,0,2,4,0.8,0.2,1,0,1,2,0,"R_3e2LsfjPy5BKRbC","Cherry",1,1,11.908,NA,0,0,"No_AI",0
"58",21,0,1,4,3,0.6,0.2,1,1,1,3,1,"R_2cCNyQR8fYD8N5U","Cherry",0,0.6,12.129,NA,0,0,"No_AI",0
"59",21,0,1,4,1,0.6,0,1,1,1,3,1,"R_yllLgeMlqTZDhLj","Cherry",0,1,17.178,NA,0,0,"No_AI",0
"60",31,0,1,4,2,0.2,0.2,1,0,1,2,0,"R_3m2Z9IOpTigHrSU","Cherry",1,0.6,23.689,NA,0,0,"No_AI",0
"61",54,1,1,4,4,0.6,0.4,1,0,1,2,0,"R_2RTYSLuS7jIV3VC","Cherry",1,0.2,7.991,NA,0,0,"No_AI",0
"62",30,1,0,4,2,1,0.4,1,1,1,3,1,"R_2s7kl891Z9GBUWa","Cherry",0,0.8,19.507,NA,0,0,"No_AI",0
"63",48,1,1,4,3,0.2,0,1,0,0,1,0,"R_2Y9h1b2E4GDjGlY","Cherry",0,0.8,3.693,NA,0,0,"No_AI",0
"64",20,0,1,2,4,0.2,0,1,1,1,3,1,"R_2Ynup9mzbRziFag","Cherry",1,0.4,11.349,NA,0,0,"No_AI",0
"65",27,1,0,2,4,0.6,0.2,0,0,1,1,0,"R_1hM6wa9kSUNH1Ep","Cherry",0,1,61.23,NA,0,0,"No_AI",0
"66",23,0,1,3,2,0.4,0.2,1,1,1,3,1,"R_3dWI2pcrQ6pgWQW","Cherry",0,1,6.768,NA,0,0,"No_AI",0
"67",29,1,0,4,4,0.8,0,1,1,1,3,1,"R_3O0wOumB2iXWwql","Cherry",0,0.8,13.035,NA,0,0,"No_AI",0
"68",28,1,0,2,4,0.6,0.8,1,1,1,3,1,"R_2rBAY208NsMD2IE","Cherry",0,1,5.363,NA,0,0,"No_AI",0
"69",34,1,1,3,4,0.6,0,1,1,1,3,1,"R_3Ei0VFuFY8NRNYI","Cherry",0,0.6,57.754,NA,0,0,"No_AI",0
"70",25,1,1,2,3,0.4,0.2,1,0,1,2,0,"R_1g2sU5O3CsO3QFi","Cherry",0,1,5.387,NA,0,0,"No_AI",0
"71",25,0,0,4,2,0.2,0.4,1,1,1,3,1,"R_3CUcOioBR7jsEmr","Cherry",0,1,18.519,NA,0,0,"No_AI",0
"72",20,0,1,5,2,0.6,0.6,0,1,1,2,0,"R_2VxRm60qNqWMzvG","Cherry",0,1,4.313,NA,0,0,"No_AI",0
"73",21,0,1,4,3,0.8,0,1,1,1,3,1,"R_1F5jopdza3Q288l","Cherry",0,1,7.513,NA,0,0,"No_AI",0
"74",22,1,0,5,4,0.4,0,1,0,0,1,0,"R_1JRW0tZ4nfhwGDs","Cherry",0,0.4,4.422,NA,0,0,"No_AI",0
"75",38,0,1,4,3,0.4,0,1,1,1,3,1,"R_b8ZWwSxP0PUf2y5","Cherry",0,1,6.286,NA,0,0,"No_AI",0
"76",28,0,0,4,2,0.8,0.4,1,1,0,2,0,"R_31KpSuswjU9fRyK","Cherry",0,1,12.39,NA,0,0,"No_AI",0
"77",20,0,1,5,4,0,0,1,1,1,3,1,"R_1FbQTuGHERv9hNh","Cherry",1,0.6,9.02,NA,0,0,"No_AI",0
"78",41,0,1,4,4,1,1,1,0,1,2,0,"R_1EWnWzzjUzi0F4p","Cherry",0,1,12.97,NA,0,0,"No_AI",0
"79",21,0,0,2,4,0.6,0.2,1,1,1,3,1,"R_3eHLwPbxKYA02rv","Cherry",0,0.8,12.918,NA,0,0,"No_AI",0
"80",20,0,1,5,4,0.6,0.2,1,1,1,3,1,"R_1lB0UmQ0EKn17Kt","Cherry",0,1,7.526,NA,0,0,"No_AI",0
"81",56,1,0,4,4,0.2,0.2,1,0,1,2,0,"R_1Injgg4T1mfn5VB","Cherry",0,1,13.333,NA,0,0,"No_AI",0
"82",24,0,1,4,3,0.2,0.2,1,1,1,3,1,"R_UrUGrUYwcUzf9n3","Cherry",1,0.6,6.844,NA,0,0,"No_AI",0
"83",38,1,1,3,4,0.6,0.6,1,1,1,3,1,"R_x5Rs1GxD4ju4N7r","Cherry",0,1,3.527,NA,0,0,"No_AI",0
"84",39,0,1,5,1,0.2,0.4,1,1,1,3,1,"R_2uOLjZoSRPwCzMO","Cherry",0,1,6.196,NA,0,0,"No_AI",0
"85",32,1,0,4,2,0.8,0.2,1,1,1,3,1,"R_svqMr55RTvSq9Tb","Cherry",1,0.8,13.229,NA,0,0,"No_AI",0
"86",37,1,0,2,4,0.4,0,1,1,1,3,1,"R_1JVhO3JZuxaPwDj","Cherry",0,0.6,10.477,NA,0,0,"No_AI",0
"87",32,0,1,4,3,0.6,0.4,1,1,1,3,1,"R_2nq062m405bPwLn","Cherry",0,1,3.109,NA,0,0,"No_AI",0
"88",29,0,1,4,5,0,0,1,1,1,3,1,"R_3hu8aeWZDOaF2xr","Cherry",0,0.6,9.024,NA,0,0,"No_AI",0
"89",34,0,1,4,3,0.2,0.2,1,1,1,3,1,"R_1f4bLhhQdj8vfBF","Cherry",0,0.4,5.821,NA,0,0,"No_AI",0
"90",24,1,0,4,2,0.4,0.2,1,1,1,3,1,"R_3QJiOABg22on0Wi","Cherry",0,1,7.685,NA,0,0,"No_AI",0
"91",41,1,0,4,2,0.6,0.2,1,1,1,3,1,"R_tQKevyemPIwqr2p","Cherry",0,1,5.539,NA,0,0,"No_AI",0
"92",35,0,1,3,4,0.4,0,1,1,1,3,1,"R_2B8VbVp8QXPiZTJ","Cherry",0,1,3.742,NA,0,0,"No_AI",0
