"","ResponseId","age","college","male_num","AI_trust_num","Task_diff_num","Dmn_know_a_num","Dmn_know_p_num","atn_ch","accuracy","confidence","time_taken","AI_use","bar"
"1","R_22mqvTFwijCFDOC",22,0,1,3,2,0.4,0.2,1,0.375,0.625,8.23834375,0.5125,0
"2","R_vr9oYzUEhrjrmAF",58,1,0,2,4,0.2,0,0,0.375,0.53125,10.94496875,0.39375,0
"3","R_1eVGQkDn4wmTveD",18,0,0,3,3,0.6,0.4,0,0.53125,0.53125,13.12059375,0.41875,1
"4","R_9SmL2ZpD54Eow3T",59,0,0,3,2,0.4,0,1,0.5625,0.55625,9.272375,0.56875,1
"5","R_2yegKpfProRdTHs",30,0,0,3,3,0.6,0.4,1,0.40625,0.4875,9.86571875,0.48125,0
"6","R_3rSwlBik2Gfkh5B",30,1,0,5,4,0,0,1,0.5,0.4125,6.968875,0.4625,0
"7","R_1EiEj4FyRqbuA40",24,1,1,5,5,0.4,0.2,1,0.5,0.60625,7.2731875,0.6375,1
"8","R_3iyQxtIShxHleOm",18,0,1,3,3,0.6,0.2,0,0.625,0.38125,8.1296875,0.60625,1
"9","R_3gTWxd8okkHqgWE",23,0,1,4,3,0.6,0,1,0.53125,0.7625,11.03875,0.74375,0
"10","R_0P91reh8CsGYQIV",21,0,1,4,1,0.4,0.2,1,0.40625,0.70625,6.8136875,0.41875,0
"11","R_2WGM38KGUDeGLkc",20,0,0,4,2,0.8,0.6,0,0.59375,0.73125,5.43628125,0.61875,1
"12","R_1K3CAo2kTuUk5pJ",31,1,1,4,4,0.8,0,1,0.53125,0.58125,5.68375,0.45,0
"13","R_2aY973l52plt7Bv",21,0,0,2,2,0.4,0.4,1,0.5625,0.9125,6.39203125,0.93125,1
"14","R_1N2EC9A3NcCumLn",23,0,1,2,3,0.4,0.2,1,0.5625,0.5625,5.7343125,0.625,0
"15","R_UxNdIEuBcSD4Jnr",26,1,1,2,5,0,0,1,0.5625,0.325,7.14965625,0.3,0
"16","R_9XEw40pHMWQvsel",22,1,1,2,4,0.4,0,1,0.40625,0.5875,9.44325,0.60625,0
"17","R_2ClcZpBJkRng4bF",46,1,0,5,2,0.4,0.2,1,0.65625,0.70625,8.8901875,0.525,1
"18","R_w7z6QyyjQbmgn4t",26,1,0,2,3,0.4,0.2,0,0.625,0.45625,6.143125,0.64375,1
"19","R_0CEZexeez6PmpY5",25,1,0,4,4,0.4,0,1,0.5625,0.6875,9.7455625,0.40625,1
"20","R_wZSfcAGv5NaiceJ",33,1,1,2,2,0.4,0.2,1,0.625,0.56875,7.00640625,0.60625,1
"21","R_uknfXYnH7IEu6xb",41,0,1,4,4,0.2,0,1,0.5625,0.61875,10.71884375,0.825,1
"22","R_3KwJ0CY6mYNnCWX",30,0,1,3,2,0.4,0.4,0,0.625,0.6375,9.41625,0.575,1
"23","R_2VCRRO3FlQGg4yf",23,0,1,3,2,0.2,0,1,0.4375,0.375,9.139125,0.30625,0
"24","R_3GllcSVAbWgPJc6",35,1,0,4,4,0.4,0,1,0.53125,0.24375,6.69046875,0.25625,0
"25","R_PTHzERZQpfZFYLT",27,0,1,4,3,0.6,0,0,0.65625,0.575,9.6818125,0.71875,0
"26","R_XRkHP28XftIToGZ",20,0,0,3,4,0.6,0,1,0.5,0.48125,6.22421875,0.35625,0
"27","R_2Xii2SX9yhNcbdr",59,0,0,1,2,1,0.4,1,0.4375,0.6625,7.64653125,0.41875,0
"28","R_2OOWqGVsHSMpKYP",23,0,1,4,2,0.4,0.2,1,0.46875,0.36875,8.9319375,0.2375,1
"29","R_r9FFDydNduScHYZ",21,0,1,4,4,0.4,0,1,0.5625,0.51875,6.44346875,0.2375,0
"30","R_21zzGKM7iwBK4ro",22,1,1,3,2,0.4,0.2,1,0.59375,0.5625,8.73428125,0.59375,1
"31","R_27xRjOXD126VLMu",28,0,0,5,4,0.6,0.2,1,0.53125,0.61875,6.7111875,0.7625,1
"32","R_1rluEh5Zo5QIoAJ",36,1,1,4,4,0.6,0,0,0.5625,0.65,11.2675,0.69375,0
"33","R_3MDznKTUj3fvOxW",25,0,0,2,4,0.8,0.2,0,0.625,0.425,5.17425,0.45,1
"34","R_1I4rKEIgLpt3GuB",38,0,1,2,3,0.4,0,0,0.625,0.74375,12.1796875,0.65625,1
"35","R_DpkR6vZ2iL5rMn7",20,0,1,3,2,0.4,0.2,1,0.28125,0.41875,7.06659375,0.51875,0
"36","R_1QtlhAsDepwI9RN",19,0,1,1,4,0.6,0,1,0.53125,0.4875,5.4393125,0.59375,0
"37","R_1F9rPW57TS2Nz7j",28,1,0,1,4,0.2,0,1,0.46875,0.3125,6.64678125,0.35625,0
"38","R_3RkCeoxW3QHvbUE",25,1,1,3,NA,0.6,0.2,1,0.5625,0.7375,5.01240625,0.66875,1
"39","R_2TEFTZFF7BLVxFe",18,0,0,4,2,0.4,0,1,0.5,0.51875,5.39190625,0.4625,1
"40","R_27JC9L7yPkmOEt5",29,1,1,4,2,0.4,0.4,1,0.5625,0.6875,6.3789375,0.6375,0
"41","R_110gucIytMMzhRT",30,1,0,4,4,0.6,0,1,0.46875,0.29375,7.523375,0.3125,0
"42","R_6yDv4POVNnikrzH",25,0,0,3,4,0.6,0,1,0.59375,0.44375,6.375,0.525,0
"43","R_3Eh61fVL4wYbZBY",20,0,1,2,4,1,0,1,0.625,0.60625,7.65359375,0.4875,0
"44","R_1Kfj7417wIlqllb",27,1,1,3,2,0.6,0.2,1,0.59375,0.6125,9.46178125,0.59375,1
"45","R_sHJu8Tm2ys4fFsZ",37,1,0,4,2,0.6,0.6,1,0.53125,0.8375,6.89228125,0.75625,0
"46","R_31HNMw1wqj2Q5lP",24,1,1,4,4,0.6,0,1,0.5625,0.66875,9.2874375,0.5375,1
"47","R_zVwVCcoJbKqVHyN",27,1,0,2,4,0.4,0.2,1,0.53125,0.4125,8.9174375,0.2875,1
"48","R_PGVws6TJenVHYpr",39,1,1,5,2,0.8,0.6,1,0.5625,0.5,8.7973125,0.51875,1
"49","R_1FG34AxEY8JntO3",20,0,1,3,4,0,0,1,0.59375,0.74375,8.125375,0.64375,1
"50","R_3dTedqThDLeKo53",32,1,1,4,2,0.2,0,1,0.375,0.35,3.90065625,0.55625,0
